ఆఫ్రికా	Africa
పాతాళ భైరవి (సినిమా)	Patala Bhairavi
పటాన్ లోకసభ నియోజకవర్గం	Patan (Lok Sabha constituency)
వర్గం:మహా సముద్రాలు	Category:Oceans
వర్గం:మొలస్కా	Category:Molluscs
పాతపట్నం శాసనసభ నియోజకవర్గం	Pathapatnam (Assembly constituency)
పట్నం వచ్చిన పతివ్రతలు	Patnam Vachina Pativrathalu
పట్రాయని	Patrayani
పట్రాయని సీతారామశాస్త్రి	Patrayani Seetharama Sastry
వర్గం:ఆపరేటింగ్ సిస్టమ్స్	Category:Operating systems
వర్గం:నియంతృత్వం	Category:Dictatorship
వర్గం:గోవా	Category:Goa
వర్గం:కర్ణాటక	Category:Karnataka
వర్గం:గుజరాత్	Category:Gujarat
వర్గం:జార్ఖండ్	Category:Jharkhand
వర్గం:తమిళనాడు	Category:Tamil Nadu
వర్గం:పంజాబ్	Category:Punjab, India
వర్గం:మధ్య ప్రదేశ్	Category:Madhya Pradesh
వర్గం:రాజస్థాన్	Category:Rajasthan
వర్గం:హర్యానా	Category:Haryana
వర్గం:ఉత్తర ప్రదేశ్	Category:Uttar Pradesh
వర్గం:పశ్చిమ బెంగాల్	Category:West Bengal
పాట్రిక్ ప్యాటర్సన్	Patrick Patterson
వర్గం:ఒరిస్సా	Category:Odisha
వర్గం:సినిమా పురస్కారాలు	Category:Film awards
పత్తిపాటి రామయ్య నాయుడు	Pattipati Ramaiah Naidu
నేనేం..చిన్నపిల్లనా..?	Nenem…Chinna Pillana?
పి.రాజగోపాల నాయుడు	Paturi Rajagopala Naidu
వర్గం:రుతువులు	Category:Seasons
వర్గం:అనోనేసి	Category:Annonaceae
వర్గం:అపోసైనేసి	Category:Apocynaceae
వర్గం:కుకుర్బిటేసి	Category:Cucurbitaceae
వర్గం:అకాంథేసి	Category:Acanthaceae
వర్గం:1869 నవలలు	Category:1962 novels
వర్గం:నిర్మాణ సామాగ్రి	Category:Building materials
ఆర్. జి. కర్ వైద్య కళాశాల మరియు ఆసుపత్రి	R. G. Kar Medical College and Hospital
వర్గం:జైనమతము	Category:Jainism
వర్గం:అంతరిక్ష కేంద్రాలు	Category:Space stations
పావ్‌హరి బాబా	Pavhari Baba
పయ్యావుల కేశవ్	Payyavula Keshav
వర్గం:పుష్పించే మొక్కలు	Category:Herbs
ప్యాపిలి	Peapally
పెదచెర్లోపల్లి	Pedacherlopalle
పెదకాకాని	Pedakakani
పెదకూరపాడు	Pedakurapadu
పెదనందిపాడు	Pedanandipadu
పెదపాడు	Pedapadu
పెదరావూరు	Pedaravuru
పెదవేగి	Pedavegi
పెద్ద ఎల్కిచర్ల	Pedda Elikicherla
పెద్దమండ్యం	Peddamandyam
పెద్దమనుషులు (1954 సినిమా)	Peddamanushulu
పెద్దపంజాణి	Peddapanjani
పెద్దాపురం శాసనసభ నియోజకవర్గం	Peddapuram (Assembly constituency)
పీర్జాదగూడ	Peerzadiguda
పీసపాటి నరసింహమూర్తి	Peesapati Narasimha Murty
పెగడపల్లి (కరీంనగర్ జిల్లా మండలం)	Pegadapally
పేకేటి శివరాం	Peketi Sivaram
పెళ్లకూరు	Pellakur
పెళ్లీడు పిల్లలు	Pelleedu Pillalu
పెళ్లినాటి ప్రమాణాలు	Pelli Naati Pramanalu
పెళ్ళి చేసి చూడు (1952 సినిమా)	Pelli Chesi Choodu
వర్గం:వార్తా మాధ్యమాలు	Category:News media
పెమ్మసాని నాయకులు	Pemmasani Nayaks
పెమ్మసాని రామలింగ నాయుడు	Pemmasani Ramalinga Nayudu
పెండేకంటి వెంకటసుబ్బయ్య	Pendekanti Venkatasubbaiah
పెండ్యాల రాఘవరావు	Pendyal Raghava Rao
పెండ్యాల	Pendyala
పెండ్యాల నాగేశ్వరరావు	Pendyala Nageswara Rao
పెన్న అహోబిల క్షేత్రం	Penna Ahobilam
పెంటకోట	Pentakota
పెనుగొండ (ప.గో)	Penugonda
పెనుమర్తి విశ్వనాథశాస్త్రి	Penumarti Viswanatha Sastry
పెనుమూరు	Penumuru
వర్గం:వాయుగతిశాస్త్రం	Category:Aerodynamics
వర్గం:శాస్త్రీయ పరిశీలన	Category:Scientific observation
వర్గం:ఆయుధాలు	Category:Weapons
పెరంబూరు రైల్వే స్టేషను	Perambur railway station
పెకాసిన్ వెల్డింగు	Percussion welding
హిందువులపై అకృత్యాలు	Persecution of Hindus
పెరుగు రామకృష్ణ (కవి)	Perugu Ramakrishna
పెరుగు శివారెడ్డి	Perugu Siva Reddy
అల్లం పెసరట్టు	Pesarattu
వర్గం:భారతీయ మహిళా గాయకులు	Category:Indian female singers
వర్గం:ఆంటిగ్వా మరియు బార్బుడా	Category:Antigua and Barbuda
చిట్టి ఈత	Phoenix loureiroi
వర్గం:తెలుగు నటులు	Category:Telugu actors
వర్గం:భారతీయ చలన చిత్ర నిర్మాతలు	Category:Indian film producers
వర్గం:కాలక్రమము	Category:Chronology
వర్గం:జావా సాఫ్ట్‌వేర్లు	Category:Java platform software
పిల్లలమర్రి (వృక్షం)	Pillalamarri
వర్గం:వనరులు	Category:Resources
పింగళి లక్ష్మీకాంతం	Pingali Lakshmikantam
పింగళి	Pingali
పింగళి నాగేంద్రరావు	Pingali Nagendrarao
పిస్టన్ (ఆప్టిక్స్)	Piston (optics)
పిచ్చాటూరు	Pitchatur
పిఠాపురం శాసనసభ నియోజకవర్గం	Pithapuram (Assembly constituency)
పిఠాపురం నాగేశ్వరరావు	Pithapuram Nageswara Rao
పిట్లం	Pitlam
పిట్టలవానిపాలెం	Pittalavanipalem
వర్గం:1571 జననాలు	Category:1571 births
పోచారం శ్రీనివాసరెడ్డి	Pocharam Srinivas Reddy
పోచారం అభయారణ్యం	Pocharam Wildlife Sanctuary
పొచ్చెర జలపాతం	Pochera Falls
పొదలకూరు	Podalakur
వర్గం:ఆంధ్ర ప్రదేశ్ లో ఆనకట్టలు	Category:Dams in Andhra Pradesh
వర్గం:భారతదేశంలో జలాశయాలు మరియు ఆనకట్టలు	Category:Reservoirs and dams in India
పొగిరి	Pogiri
పొక్కునూరు	Pokkunuru
పోలవరం పథకము	Polavaram Project
వర్గం:భారతదేశపు ప్రముఖ మహిళలు	Category:Indian women
వర్గం:ఉచిత ఆపరేటింగు సిస్టములు	Category:Free software operating systems
వర్గం:శామ్‌సంగ్ మొబైల్ ఫోన్లు	Category:Samsung mobile phones
వర్గం:జలాశయాలు	Category:Reservoirs
వర్గం:భారతదేశంలో ఆనకట్టలు	Category:Dams in India
మూస:India Districts	Template:Infobox India district
పొగాకు ధూమపానం	Tobacco smoking
వర్గం:భారతదేశంలో జాతీయ వనాలు	Category:National parks of India
వర్గం:మొబైల్ ఆటలు	Category:Mobile games
వర్గం:పేకాటలు	Category:Card games
మూస:MedalCompetition	Template:MedalCompetition
వర్గం:విరామ చిహ్నాలు	Category:Punctuation
వర్గం:చెన్నై	Category:Chennai
వర్గం:పండుగలు	Category:Festivals
వర్గం:హిమాలయాలు	Category:Himalayas
వర్గం:మృదుఫలాలు	Category:Berries
వర్గం:సూక్ష్మ అర్థ శాస్త్రము	Category:Microeconomics
వర్గం:ఎయిడ్స్	Category:HIV/AIDS
వర్గం:ఆసియా క్రీడలు	Category:Asian Games
వర్గం:వాయువులు	Category:Gases
వర్గం:అనెలిడా	Category:Annelids
వర్గం:గుమ్మటాలు	Category:Domes
వర్గం:నిడేరియా	Category:Cnidarians
వర్గం:పేకముక్కలు	Category:Playing cards
వర్గం:అలంకార మొక్కలు	Category:Garden plants
వర్గం:User pl	Category:User pl
వర్గం:రవాణా	Category:Transport
వర్గం:పెళ్లి	Category:Wedding
వర్గం:1901 స్థాపితాలు	Category:1901 establishments
వర్గం:1927 స్థాపితాలు	Category:1927 establishments
వర్గం:1920 స్థాపితాలు	Category:1920 establishments
వర్గం:1923 స్థాపితాలు	Category:1923 establishments
వర్గం:1966 స్థాపితాలు	Category:1966 establishments
వర్గం:1965 స్థాపితాలు	Category:1965 establishments
వర్గం:1957 స్థాపితాలు	Category:1957 establishments
వర్గం:1968 స్థాపితాలు	Category:1968 establishments
వర్గం:యోగా	Category:Yoga
వర్గం:2011 స్థాపితాలు	Category:2011 establishments
వర్గం:2007 స్థాపితాలు	Category:2007 establishments
వర్గం:2006 స్థాపితాలు	Category:2006 establishments
వర్గం:1000లు	Category:1000s
వర్గం:1590లు	Category:1590s
వర్గం:1620లు	Category:1620s
వర్గం:1600లు	Category:1600s
వర్గం:1690లు	Category:1690s
వర్గం:980లు	Category:980s
వర్గం:కంప్యూటర్ కీబోర్డులు	Category:Computer keyboards
వర్గం:రేడియో ఖగోళశాస్త్రం	Category:Radio astronomy
వర్గం:ఉత్తర అమెరికా	Category:North America
వర్గం:ఎడారులు	Category:Deserts
వర్గం:1990 తెలుగు సినిమాలు	Category:1990 films
వర్గం:సరస్సులు	Category:Lakes
వర్గం:జెండాలు	Category:Flags
వర్గం:ఆర్థిక వేత్తలు	Category:Economists
మూస:Infobox element/isotopes decay2	Template:Infobox element/isotopes decay2
మూస:Infobox element/isotopes decay3	Template:Infobox element/isotopes decay3
మూస:సమాచారపెట్టె భాష	Template:Infobox language
వర్గం:యుఎస్‌బి	Category:USB
వర్గం:ఓషియానియా	Category:Oceania
పాయిజన్ ఐవీ	Toxicodendron radicans
మూస:Wikiversity	Template:Wikiversity
వర్గం:భారతదేశం యొక్క వృక్ష జాతులు	Category:Flora of India
ఆంధ్ర ప్రదేశ్ ఇటీవలి చరిత్ర	Politics of Andhra Pradesh
వర్గం:నార మొక్కలు	Category:Fiber plants
పొణకా కనకమ్మ	Ponaka Kanakamma
పొన్నలూరు	Ponnaluru
పొన్నాల లక్ష్మయ్య	Ponnala Lakshmaiah
పొన్నెకల్లు	Ponnekallu
పూజ (సినిమా)	Pooja (1975 film)
పూల రంగడు (1967 సినిమా)	Poola Rangadu
పూతరేకులు	Pootharekulu
వర్గం:ఆంధ్ర ప్రదేశ్ నగరాలు మరియు పట్టణాలు	Category:Cities and towns in Andhra Pradesh
పోరుబందర్ లోకసభ నియోజకవర్గం	Porbandar (Lok Sabha constituency)
వర్గం:పద్మశ్రీ పురస్కార గ్రహీతలు	Category:Recipients of the Padma Shri
వర్గం:1976 స్థాపితాలు	Category:1976 establishments
పోరు తెలంగాణ	Poru Telangana
పోరుమామిళ్ల	Porumamilla
వర్గం:1830లు	Category:1830s
పోసాని కృష్ణ మురళి	Posani Krishna Murali
వర్గం:క్రీడాకారులు	Category:Sports competitors
వర్గం:జలపాతాలు	Category:Waterfalls
రతి అనంతర పరీక్ష	Postcoital test
వర్గం:మహారాష్ట్ర ప్రముఖులు	Category:People from Maharashtra
బమ్మెర పోతన	Pothana
పోతిరెడ్డిపాడు హెడ్‌రెగ్యులేటర్	Pothireddypadu Reservoir
పోతునూరు (దెందులూరు)	Pothunuru
వర్గం:క్రీ.పూ. 529 మరణాలు	Category:529 BC deaths
పొట్టి శ్రీరాములు తెలుగు విశ్వవిద్యాలయము	Potti Sreeramulu Telugu University
పోతులూరి వీరబ్రహ్మేంద్రస్వామి	Potuluri Veerabrahmendra Swami
వర్గం:2004 ఉపోద్ఘాతములు	Category:2004 introductions
వర్గం:2000 ఉపోద్ఘాతములు	Category:2000 introductions
వర్గం:2009 ఉపోద్ఘాతములు	Category:2009 introductions
వర్గం:భారతీయ చలన చిత్ర దర్శకులు	Category:Indian film directors
వేటూరి	Veturi
వర్గం:GFDL బొమ్మలు	Category:GFDL files
వర్గం:1958 తెలుగు సినిమాలు	Category:1958 films
వర్గం:1975 తెలుగు సినిమాలు	Category:1975 films
వర్గం:1943 తెలుగు సినిమాలు	Category:1943 films
వర్గం:1978 తెలుగు సినిమాలు	Category:1978 films
వర్గం:1988 తెలుగు సినిమాలు	Category:1988 films
వర్గం:1972 తెలుగు సినిమాలు	Category:1972 films
వర్గం:1998 తెలుగు సినిమాలు	Category:1998 films
వర్గం:2006 తెలుగు సినిమాలు	Category:2006 films
వర్గం:1992 తెలుగు సినిమాలు	Category:1992 films
వర్గం:2000 తెలుగు సినిమాలు	Category:2000 films
ప్రహ్లాదపురి దేవాలయం, ముల్తాన్	Prahladpuri Temple, Multan
ప్రకాశం బ్యారేజి	Prakasam Barrage
ప్రకాష్ జవదేకర్	Prakash Javadekar
వర్గం:నాగాలాండ్	Category:Nagaland
వర్గం:జమ్మూ కాశ్మీరు	Category:Jammu and Kashmir
వర్గం:మహారాష్ట్ర	Category:Maharashtra
వర్గం:అరుణాచల్ ప్రదేశ్	Category:Arunachal Pradesh
వర్గం:హిమాచల్ ప్రదేశ్	Category:Himachal Pradesh
వర్గం:ఆంధ్ర ప్రదేశ్	Category:Andhra Pradesh
వర్గం:అసోం	Category:Assam
ప్రాణ్ కుమార్ శర్మ	Pran Kumar Sharma
మూరెళ్ల ప్రసాద్	Prasad Murella
ప్రసాద్ ఐమాక్స్	Prasads IMAX
ప్రస్థానం	Prasthanam
ప్రతాపసింగారం	Pratap Singaram
ప్రతాపరుద్రుడు	Prataparudra
ప్రత్తిపాడు (తూ.గో జిల్లా) శాసనసభ నియోజకవర్గం	Prathipadu (Assembly constituency)
ప్రత్తిపాడు (తూ.గో జిల్లా)	Prathipadu, East Godavari district
ప్రత్తిపాడు (గుంటూరు జిల్లా)	Prathipadu, Guntur district
ప్రతిఘటన	Pratighatana
హెచ్చరిక	Precautionary statement
ప్రీతా రెడ్డి	Preetha Reddy
ప్రేమనగర్	Prem Nagar (1971 film)
ప్రేమకథ	Prema Katha
ప్రేమకథా చిత్రమ్	Prema Katha Chitram
ప్రేమతరంగాలు	Prema Tarangalu
ప్రేమాభిషేకం	Premabhishekam (1981 film)
ప్రేమించి చూడు (1965 సినిమా)	Preminchi Choodu
మూస:Wikipedia principles	Template:Wikipedia principles
మూస:Infobox amusement park	Template:Infobox amusement park
కారెట్	Carrot
వర్గం:అరేసి	Category:Araceae
వర్గం:మొరింగేసి	Category:Moringa
బలిరెడ్డి పృధ్వీరాజ్	Prudhviraj (Telugu actor)
మూస:Usbktop	Template:Usbktop
ప్రైవేటు మాస్టారు	Private Master
ప్రియాగ్రహారం	Priya Agraharam
ప్రియ దత్	Priya Dutt
ప్రియమైన నీకు	Priyamaina Neeku
మూస:Usbk	Template:Usbk
ప్రతాప్ చంద్ర ముజుందార్	Protap Chunder Mozoomdar
ప్రొటీన్లు	Protein (nutrient)
సంక్రాంతి	Sankranti
ది ప్రాడిజీ	The Prodigy
భారత ప్రజారోగ్య సమాఖ్య	Public Health Foundation of India
వర్గం:గుజరాత్ పర్యాటక ప్రదేశాలు	Category:Tourism in Gujarat
పూడిమడక	Pudimadaka
వర్గం:కర్ణాటక దర్శనీయస్థలాలు	Category:Tourism in Karnataka
నేల గుమ్మడి	Pueraria tuberosa
పులిచింతల ప్రాజెక్టు	Pulichinthala Project
పులిమామిడి (అనుముల మండలం)	Pulimamidi
పుల్లలచెరువు	Pullalacheruvu
పుల్లయ్య	Pullaiah
పుల్లంపేట	Pullampeta
పుల్లెల	Pullela
పునాదిరాళ్ళు	Punadhirallu
పునీతా అరోరా	Punita Arora
పుపుల్ జయకర్	Pupul Jayakar
పురానీ హవేలీ	Purani Haveli
పూరీ జగన్నాధ్	Puri Jagannadh
పురిపండా అప్పలస్వామి	Puripanda Appala Swamy
పుర్లి	Purli
పూర్ణిమా మానె	Purnima Mane
పురోహితుడు	Purohit
పూసపాటి	Pusapati
పూసపాటి విజయరామ గజపతి రాజు	Pusapati Vijayarama Gajapati Raju
పుష్పదంతుడు (జైనమత తీర్థంకరుడు)	Pushpadanta
పుష్పవల్లి	Pushpavalli
పూతలపట్టు	Puthalapattu
పూతలపట్టు శాసనసభ నియోజకవర్గం	Puthalapattu (SC) (Assembly constituency)
పుట్టపర్తి నారాయణాచార్యులు	Puttaparthi Narayanacharyulu
పువ్వుల సూరిబాబు	Puvvula Suri Babu
పైడిమర్రి వెంకటసుబ్బారావు	Pydimarri Venkata Subba Rao
వర్గం:తమిళనాడు పర్యాటక ప్రదేశాలు	Category:Tourism in Tamil Nadu
వర్గం:ఒరిస్సా పర్యాటక ప్రదేశాలు	Category:Tourism in Odisha
వర్గం:ఉత్తర ప్రదేశ్ పర్యాటక ప్రదేశాలు	Category:Tourism in Uttar Pradesh
వర్గం:ఆంధ్ర ప్రదేశ్ పర్యాటక ప్రదేశాలు	Category:Tourism in Andhra Pradesh
క్వింటన్ డికాక్	Quinton de Kock
కుత్బుల్లాపూర్ శాసనసభ నియోజకవర్గం	Quthbullapur (Vidan Sabha constituency)
ఆర్.నారాయణమూర్తి	R. Narayana Murthy
ఆర్. పి. పట్నాయక్	R. P. Patnaik
జెంబతాన్ అకర్	Jembatan akar
రాత్రి (సినిమా)	Raat (film)
రావు బాలసరస్వతీ దేవి	Raavu Balasaraswathi
రచ్చబండ (సమావేశ స్థలము)	Racchabanda
రేసుగుర్రం	Race Gurram
రాచకొండ	Rachakonda
రావిశాస్త్రి	Rachakonda Viswanatha Sastry
రాధా కల్యాణం	Radha Kalyanam
ఎన్. రఘువీరా రెడ్డి	Raghu Veera Reddy
రఘునాథ నాయకుడు	Raghunatha Nayak
రఘుపతి	Raghupathi
రఘుపతి వెంకయ్య అవార్డు	Raghupathi Venkaiah Award
రఘుపతి వెంకయ్య	Raghupathi Venkaiah Naidu
రఘుపతి వేంకటరత్నం నాయుడు	Raghupathi Venkataratnam Naidu
రఘువంశ సుధా	Raghuvamsa Sudha
రాగిణి ద్వివేది	Ragini Dwivedi
రహస్యం (సినిమా)	Rahasyam (1967 film)
రాయచూరు అంతర్వేది	Raichur Doab
రాయగిరి	Raigiri, Nalgonda district
రైల్ భూమి అభివృద్ధి మండలి	Rail Land Development Authority
రైల్వే బోర్డు	Railway Board
రాయిపర్తి	Raiparthy
రైతుబిడ్డ (1939 సినిమా)	Raithu Bidda
రాజ్ కుమారి చౌహాన్	Raj Kumari Chauhan
రాజ్ నారాయణ్	Raj Narain
రాజ్‌సింగ్ దుంగార్పుర్	Raj Singh Dungarpur
రాజా (నటుడు)	Raja Abel
రాజబాబు	Raja Babu (actor)
రాజకుమారుడు	Raja Kumarudu
రాజమకుటం	Raja Makutam
అమావాస్య చంద్రుడు	Raja Paarvai
రాజా రాణి	Raja Rani (2013 film)
రాజా రాధా రెడ్డి	Raja and Radha Reddy
రాజమండ్రి కేంద్ర కారాగారం	Rajahmundry Central Prison
రాజమండ్రి సిటీ శాసనసభ నియోజకవర్గం	Rajahmundry City (Assembly constituency)
రాజమండ్రి గ్రామీణ శాసనసభ నియోజకవర్గం	Rajahmundry Rural (Assembly constituency)
చాకలి	Rajaka
రాజాం శాసనసభ నియోజకవర్గం	Rajam (SC)(Assembly constituency)
రాజలింగంపేట	Rajalingampet
రాజనాల కాళేశ్వరరావు	Rajanala Kaleswara Rao
రాజనాల నాగేశ్వరరావు	Rajanala Nageswara Rao
రజని	Rajani
రాజారాం	Rajaram
ఇందుకూరి రామకృష్ణంరాజు	Rajashri
మూస:Infobox polygon	Template:Infobox polygon
రాజీవ్ సూరి	Rajeev Suri
రాజేంద్రనగర్ శాసనసభ నియోజకవర్గం	Rajendranagar (Assembly constituency)
రాజీందర్ కౌర్ భత్తల్	Rajinder Kaur Bhattal
రాజీవ్ కనకాల	Rajiv Kanakala
రాజ్‌కుమార్ నటించిన చిత్రాల జాబితా	Rajkumar filmography
రాజశ్రీ పతి	Rajshree Pathy
రాజు నరిశెట్టి	Raju Narisetti
రాజు-పేద	Raju Peda
రాజుపాలెం(గుంటూరు)	Rajupalem, Guntur district
రక్షిత	Rakshita
రక్తసంబంధం (1962 సినిమా)	Rakta Sambandham (1962 film)
రకుల్ ప్రీత్ సింగ్	Rakul Preet Singh
రాళ్ళపల్లి (నటుడు)	Rallapalli (actor)
రాళ్ళపల్లి అనంతకృష్ణశర్మ	Rallapalli Ananta Krishna Sharma
రామ్ (నటుడు)	Ram Pothineni
రామ్ రాబర్ట్ రహీమ్	Ram Robert Rahim
రమాప్రభ	Rama Prabha
రామభద్రాపురం	Ramabhadrapuram
రామచంద్రాపురం (చిత్తూరు)	Ramachandrapuram, Chittoor
రామడుగు (కరీంనగర్)	Ramadugu
రామగుండం విమానాశ్రయం	Ramagundam Airport
రామకుప్పం	Ramakuppam
రామాలయం (సినిమా)	Ramalayam
రమణ గోగుల	Ramana Gogula
తిక్కవరపు వెంకట రమణారెడ్డి	Ramana Reddy
రమణక్కపేట (ముసునూరు)	Ramanakkapeta
రామరాజభూషణుడు	Ramarajabhushanudu
రామసముద్రం (చిత్తూరు జిల్లా)	Ramasamudram
రామాయణం (సినిమా)	Ramayanam (film)
రామాయణం సర్వేశ్వర శాస్త్రి	Ramayanam Sarveswara Sastry
రాంభొట్ల లక్ష్మీనారాయణ శాస్త్రి	Rambhatla Lakshminarayana Sastry
రామచంద్ర లాల్	Ramchundra
రమేష్ రాథోడ్	Ramesh Rathod
రామిరెడ్డి	Rami Reddy
రామిరెడ్డి (నటుడు)	Rami Reddy (actor)
రామోజీరావు	Ramoji Rao
రంపచోడవరం శాసనసభ నియోజకవర్గం	Rampachodavaram (ST)(Assembly constituency)
రాము (1968 సినిమా)	Ramu (1968 film)
రమ్యశ్రీ	Ramya Sri
మూస:మధ్యప్రదేశ్ లోని జిల్లాలు	Template:State of Madhya Pradesh
రంగారావు	Ranga Rao
రంగనాథ్	Ranganath (actor)
రంగులరాట్నం (సినిమా)	Rangula Ratnam
రాణి కీ వావ్	Rani ki vav
రెంజల్	Ranjal
రంజిత	Ranjitha
రావు గోపాలరావు	Rao Gopal Rao
రావు రమేశ్	Rao Ramesh
రావు వేంకట కుమార మహీపతి సూర్యారావు	Rao Venkata Kumara Mahipati Surya Rau
వర్గం:భారతదేశ దీవులు	Category:Islands of India
రాపూరు	Rapur
రసూల్ ఎల్లోర్	Rasool Ellore
రవళి (నటి)	Ravali
రవిబాబు	Ravi Babu
రవి గోమతం	Ravi Gomatam
రావి నారాయణరెడ్డి	Ravi Narayana Reddy
రవితేజ (నటుడు)	Ravi Teja
రవికాంత్ శుక్లా	Ravikant Shukla
రవీంద్ర ఆర్ట్ పిక్చర్స్	Ravindra Art Pictures
రవీంద్రభారతి	Ravindra Bharathi
రావుపల్లి	Ravipalli
రావూరి భరద్వాజ	Ravuri Bharadhwaja
రాయప్రోలు సుబ్బారావు	Rayaprolu Subba Rao
రాయపూడి	Rayapudi
రాయవరం	Rayavaram, East Godavari
రాజోలు శాసనసభ నియోజకవర్గం	Razole (SC) (Assembly constituency)
రెడీ	Ready (2008 film)
రేచుక్క (1955 సినిమా)	Rechukka
రెడ్డిగూడెం	Reddigudem
రీనా కౌశల్ ధర్మ్‌శక్తు	Reena Kaushal Dharmshaktu
రెజీనా	Regina Cassandra
వర్గం:ప్లాటీహెల్మింథిస్	Category:Platyhelminthes
రేలంగి	Relangi
రేలంగి వెంకట్రామయ్య	Relangi Venkata Ramaiah
వర్గం:2006 పుస్తకాలు	Category:2006 books
వర్గం:2000 పుస్తకాలు	Category:2000 books
రెల్లివలస (పూసపాటిరేగ)	Rellivalasa
వర్గం:1994 పుస్తకాలు	Category:1994 books
వర్గం:1982 పుస్తకాలు	Category:1982 books
వర్గం:1981 పుస్తకాలు	Category:1981 books
వర్గం:1973 పుస్తకాలు	Category:1973 books
వర్గం:1965 పుస్తకాలు	Category:1965 books
వర్గం:1957 పుస్తకాలు	Category:1957 books
వర్గం:1956 పుస్తకాలు	Category:1956 books
వర్గం:1953 పుస్తకాలు	Category:1953 books
వర్గం:1951 పుస్తకాలు	Category:1951 books
వర్గం:1937 పుస్తకాలు	Category:1937 books
వర్గం:1928 పుస్తకాలు	Category:1928 books
వర్గం:1924 పుస్తకాలు	Category:1924 books
వర్గం:1917 పుస్తకాలు	Category:1917 books
వర్గం:1916 పుస్తకాలు	Category:1916 books
రెండుజెళ్ళ సీత	Rendu Jella Sita
రెంటచింతల	Rentachintala
రేణూ దేశాయ్	Renu Desai
రేపటి పౌరులు	Repati Pourulu
వర్గం:నేపాల్ భాషలు	Category:Languages of Nepal
వర్గం:డిజిటల్ గ్రంథాలయాలు	Category:Digital libraries
వర్గం:కబడ్డీ	Category:Kabaddi
ఎనుముల రేవంత్ రెడ్డి	Revanth Reddy
వర్గం:త్రీ డీ ముద్రణ	Category:3D printing
రిషి రెడ్డి	Rishi Reddi
తెలుగు సమాజము(గ్రామము) లో పొటీ మరియు సాంప్రదాయ బహుమానము(ట్రిబ్యూట్)	Rivalry and Tribute
మూస:ఇతరవాడుకలు మూసలు	Template:Hatnote templates
వర్గం:పంపులు	Category:Pumps
వర్గం:నారింజలు	Category:Oranges
రోజర్ హార్పర్	Roger Harper
రోజారమణి	Roja Ramani
వర్గం:భారతదేశంలో పార్కులు	Category:Parks in India
రొంపిచెర్ల, చిత్తూరు	Rompicherla, Chittoor district
రొంపిచెర్ల	Rompicherla
రోషగాడు	Roshagadu
రోషనారా	Roshanara Begum
వర్గం:విశాఖపట్నం	Category:Visakhapatnam
వర్గం:విజయవాడ	Category:Vijayawada
రొట్టెల పండుగ, నెల్లూరు	Rottela Panduga
వర్గం:బంతి ఆటలు	Category:Ball games
సప్తస్వరాలు	Swara
ఋష్యేంద్రమణి	Rushyendramani
ర్యాలి	Ryali
రైతు బజార్	Rythu bazaar
శకుంతల అమ్మాళ్ కళాశాల	S.A. Engineering College
ఎస్. ఎ. రాజ్‌కుమార్	S. A. Rajkumar
సాలూరు హనుమంతరావు	S. Hanumantha Rao
ఎస్. జగద్రక్షకన్	S. Jagathrakshakan
లాల్‌జాన్ బాషా	S. M. Laljan Basha
ఎస్.పి.కోదండపాణి	S. P. Kodandapani
ఎస్.పి.పరశురాం	S. P. Parasuram
ఎస్. పి. వై. రెడ్డి	S. P. Y. Reddy
సాలూరు రాజేశ్వరరావు	S. Rajeswara Rao
తమన్	S. Thaman
ఎస్. వి. కృష్ణారెడ్డి	S. V. Krishna Reddy
ఎస్.వి. రంగారావు	S. V. Ranga Rao
శ్రీ వేంకటేశ్వర భక్తి ఛానల్	SVBC TV
వికీపీడియా:తెవికీ వార్త	Wikipedia:Wikipedia Signpost
సాగర సంగమం	Sagara Sangamam
సాక్షి (సినిమా)	Sakshi (film)
సబర్కంటా లోకసభ నియోజకవర్గం	Sabarkantha (Lok Sabha constituency)
సబ్బం హరి	Sabbam Hari
సబితా ఇంద్రారెడ్డి	Sabitha Indra Reddy
సదాశివనగర్	Sadasivanagar
సదాశివబ్రహ్మేంద్ర	Sadasiva Brahmendra
సాగి	Sagi
సాహసవీరుడు - సాగరకన్య	Sahasa Veerudu Sagara Kanya
సాయి కుమార్	Sai Kumar (Tollywood actor)
సైదాపూర్	Saidapur
వర్గం:వేదాలు	Category:Vedas
కోరుకొండ సైనిక పాఠశాల	Sainik School, Korukonda
సాయిరాం శంకర్	Sairam Shankar
సాక్షి శివానంద్	Sakshi Shivanand
సాక్షి రంగారావు	Sakshi Ranga Rao
సలీం (సినిమా)	Saleem (film)
శాలిహుండం	Salihundam
సాలూరు శాసనసభా నియోజకవర్గం	Salur (Assembly constituency)
సమైక్యాంధ్ర ఉద్యమము	Samaikyandhra Movement
సామల సదాశివ	Samala Sadasiva
సామర్లకోట రైల్వే స్టేషను	Samalkot railway station
సామవేదం షణ్ముఖశర్మ	Samavedam Shanmukha Sarma
శంబర	Sambara, Vizianagaram
సామి వెంకటాచలం శెట్టి	Sami Venkatachalam Chetty
సంజీవ్ కపూర్	Sanjeev Kapoor
సంసారం (1950 సినిమా)	Samsaram (1950 film)
సంసారం-సాగరం	Samsaram Sagaram
సముద్రాల	Samudrala
సముద్రాల రామానుజాచార్య	Samudrala Ramanujacharya
మూస:Pow	Template:POW
సందీప్ చౌతా	Sandeep Chowta
